iteration,interface_residual
1,3.302448662922577e+06
2,9.955406777454274e-01
3,3.308590947832808e-01
4,1.413143812186410e-01
5,6.569998151234008e-02
6,3.166338468198818e-02
7,1.551546995605299e-02
8,7.663694172357655e-03
9,3.800201125004774e-03
10,1.888041621583418e-03
11,9.389256249760128e-04
12,4.671504672937573e-04
13,2.324795773658496e-04
14,1.157081078966863e-04
15,5.759279375668869e-05
16,2.866719065606860e-05
17,1.426948895875750e-05
18,7.102886033666727e-06
19,3.535597715611794e-06
20,1.759914756194357e-06
21,8.760337168533046e-07
