iteration,interface_residual
1,3.356287959555215e+06
2,9.952472889398961e-01
3,3.306964944359042e-01
4,1.412131528486091e-01
5,6.563666978753593e-02
6,3.162451720179074e-02
7,1.549215270610453e-02
8,7.650009553882378e-03
9,3.792322841885531e-03
10,1.883579402835152e-03
11,9.364324704856969e-04
12,4.657732373016578e-04
13,2.317260046604013e-04
14,1.152990794791650e-04
15,5.737229138505198e-05
16,2.854901564719868e-05
17,1.420647561309327e-05
18,7.069434674608594e-06
19,3.517908833687659e-06
20,1.750593277125699e-06
21,8.711367298460634e-07
