x, y, u, qn
6.250000000000000e-01, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00
6.250000000000000e-01, 1.250000000000000e-01, -3.619978535070742e-05, 1.016100687375880e-03
6.250000000000000e-01, 2.500000000000000e-01, 1.427620249990591e-05, 1.417487360109547e-02
6.250000000000000e-01, 3.750000000000000e-01, 1.117155078482757e-04, 3.372053525634417e-02
6.250000000000000e-01, 5.000000000000000e-01, 2.183231388446605e-04, 5.324944518443707e-02
6.250000000000000e-01, 6.250000000000000e-01, 2.970927617663359e-04, 6.615300823469865e-02
6.250000000000000e-01, 7.500000000000000e-01, 3.112924241705679e-04, 6.581762950810720e-02
6.250000000000000e-01, 8.750000000000000e-01, 2.242667458518204e-04, 4.578484245869120e-02
6.250000000000000e-01, 1.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00
