iteration,interface_residual
1,inf
2,726429434.9747978
3,1.9650360432626799
4,0.5057221986706647
5,0.15518467223987617
6,0.0984617659433985
7,0.09466370973343999
8,0.04022163651964133
9,0.03089365963749231
10,0.02189891517784425
11,0.010353622530618202
12,0.008738610491510476
13,0.004415836315850793
14,0.0030679847459302396
15,0.002394504935581869
16,0.0007839581035517654
17,0.0007090853894802666
18,0.0005752851482001603
19,0.0002711279356387058
20,0.0002172725990120864
21,0.00011883557260952521
22,7.577586648037878e-05
23,6.125737046514161e-05
24,1.966483245939886e-05
25,1.8799136743977667e-05
26,1.5053411653105873e-05
27,6.724474754114929e-06
28,5.453857275110226e-06
29,3.197161882989188e-06
30,1.9517501787911347e-06
31,1.574113939022851e-06
32,5.529132702592832e-07
