iteration,interface_residual
1,inf
2,1404326904.9284892
3,1.9249543909977163
4,0.5535351265156808
5,0.19662268772107847
6,0.10745578468982508
7,0.10816092375588178
8,0.0418622606669384
9,0.03846210884437401
10,0.029840767011705537
11,0.012251766800417523
12,0.011019951614541609
13,0.007563732266903665
14,0.004399142735546567
15,0.003731224026782545
16,0.0015967286442446073
17,0.0012539540193975151
18,0.0011162080631613347
19,0.00046215550474604754
20,0.0004015435411714634
21,0.00028891455928092195
22,0.00016188573722274304
23,0.00014392950724329356
24,6.0535239595409616e-05
25,4.909852009511223e-05
26,4.3919205136988014e-05
27,1.8366435812418532e-05
28,1.6442457651823714e-05
29,1.1299638099938146e-05
30,6.5963396000774065e-06
31,5.9468074680281545e-06
32,2.249073457244216e-06
33,1.9795984738573578e-06
34,1.7933580672896938e-06
35,8.011754911294369e-07
