x,y,T,ux,uy,qn,tx,ty
6.25000000000e-01,4.82954545455e-01,6.78185119069e-02,-2.14586374773e-03,-2.05971067100e-04,-9.16615218540e-02,2.23574063903e+00,4.40654789951e-01
6.25000000000e-01,4.94318181818e-01,6.89859546971e-02,-2.13579065438e-03,-1.22276366379e-04,-9.31279328798e-02,2.13838848232e+00,3.10664277487e-01
6.25000000000e-01,5.05681818182e-01,6.97587378013e-02,-2.10287177660e-03,-2.37634999980e-05,-9.40399009813e-02,2.02855058530e+00,1.18801413374e-01
6.25000000000e-01,5.17045454545e-01,7.01368612196e-02,-2.04710711437e-03,8.95675320427e-05,-9.43974261584e-02,1.90622694798e+00,-1.34933802387e-01
6.25000000000e-01,5.28409090909e-01,7.05149846378e-02,-1.99134245214e-03,2.02898564084e-04,-9.47549513356e-02,1.78390331066e+00,-3.88669018148e-01
6.25000000000e-01,5.39772727273e-01,7.08931080560e-02,-1.93557778991e-03,3.16229596124e-04,-9.51124765127e-02,1.66157967334e+00,-6.42404233910e-01
6.25000000000e-01,5.51136363636e-01,7.12712314743e-02,-1.87981312769e-03,4.29560628165e-04,-9.54700016899e-02,1.53925603602e+00,-8.96139449671e-01
6.25000000000e-01,5.62500000000e-01,7.16493548925e-02,-1.82404846546e-03,5.42891660206e-04,-9.58275268670e-02,1.41693239871e+00,-1.14987466543e+00
6.25000000000e-01,5.73863636364e-01,7.20274783107e-02,-1.76828380323e-03,6.56222692247e-04,-9.61850520441e-02,1.29460876139e+00,-1.40360988119e+00
6.25000000000e-01,5.85227272727e-01,7.24056017290e-02,-1.71251914101e-03,7.69553724287e-04,-9.65425772213e-02,1.17228512407e+00,-1.65734509696e+00
6.25000000000e-01,5.96590909091e-01,7.27837251472e-02,-1.65675447878e-03,8.82884756328e-04,-9.69001023984e-02,1.04996148675e+00,-1.91108031272e+00
6.25000000000e-01,6.07954545455e-01,7.31618485654e-02,-1.60098981655e-03,9.96215788369e-04,-9.72576275756e-02,9.27637849430e-01,-2.16481552848e+00
6.25000000000e-01,6.19318181818e-01,7.35399719837e-02,-1.54522515432e-03,1.10954682041e-03,-9.76151527527e-02,8.05314212111e-01,-2.41855074424e+00
6.25000000000e-01,6.30681818182e-01,7.33688567532e-02,-1.44170289491e-03,1.20527134472e-03,-9.72041530115e-02,5.82331810888e-01,-2.60639027319e+00
6.25000000000e-01,6.42045454545e-01,7.26485028741e-02,-1.29042303831e-03,1.28338936131e-03,-9.60246283520e-02,2.58690645759e-01,-2.72833411533e+00
6.25000000000e-01,6.53409090909e-01,7.19281489949e-02,-1.13914318171e-03,1.36150737790e-03,-9.48451036925e-02,-6.49505193689e-02,-2.85027795747e+00
6.25000000000e-01,6.64772727273e-01,7.12077951157e-02,-9.87863325114e-04,1.43962539448e-03,-9.36655790330e-02,-3.88591684497e-01,-2.97222179961e+00
6.25000000000e-01,6.76136363636e-01,7.04874412366e-02,-8.36583468515e-04,1.51774341107e-03,-9.24860543734e-02,-7.12232849626e-01,-3.09416564175e+00
6.25000000000e-01,6.87500000000e-01,6.97670873574e-02,-6.85303611916e-04,1.59586142766e-03,-9.13065297139e-02,-1.03587401475e+00,-3.21610948388e+00
6.25000000000e-01,6.98863636364e-01,6.90467334782e-02,-5.34023755317e-04,1.67397944424e-03,-9.01270050544e-02,-1.35951517988e+00,-3.33805332602e+00
6.25000000000e-01,7.10227272727e-01,6.83263795991e-02,-3.82743898718e-04,1.75209746083e-03,-8.89474803948e-02,-1.68315634501e+00,-3.45999716816e+00
6.25000000000e-01,7.21590909091e-01,6.76060257199e-02,-2.31464042119e-04,1.83021547741e-03,-8.77679557353e-02,-2.00679751014e+00,-3.58194101030e+00
6.25000000000e-01,7.32954545455e-01,6.68856718407e-02,-8.01841855204e-05,1.90833349400e-03,-8.65884310758e-02,-2.33043867527e+00,-3.70388485244e+00
6.25000000000e-01,7.44318181818e-01,6.61653179616e-02,7.10956710785e-05,1.98645151059e-03,-8.54089064163e-02,-2.65407984040e+00,-3.82582869458e+00
