iteration,interface_residual
2,1.1029449445258088
3,0.70329331012844065
4,0.50163023407440954
5,0.32012334108679597
6,0.18478195070845865
7,0.14428440605255516
8,0.090110611205344818
9,0.042467899457083048
10,0.030106544256515669
11,0.020072973402482285
12,0.0099849767129601506
13,0.006606408207678916
14,0.0045602119499202716
15,0.0024007621738005719
16,0.0014032292894739929
17,0.0010032497380252383
18,0.00057770091818257804
19,0.0003008019183308833
20,0.00022031214003189416
21,0.00013884522804499396
22,6.8785113883639918e-05
23,4.8887847692204051e-05
24,3.2643349401901616e-05
25,1.6561731331780995e-05
26,1.0721231281476419e-05
27,7.4542462618681094e-06
28,4.0400969146031486e-06
29,2.2952991933398065e-06
30,1.6586246668712195e-06
31,9.8954940782298842e-07
