x,y,T,ux,uy,qn,tx,ty
6.25000000000e-01,5.96590909091e-01,7.42685752040e-02,-3.02571984248e-04,1.67064167281e-03,1.00934754138e-01,3.00178811022e+00,4.71413355750e+00
6.25000000000e-01,6.07954545455e-01,7.42911408023e-02,-1.62752936950e-04,1.75186895099e-03,1.00851941516e-01,3.49199497716e+00,5.00178192932e+00
6.25000000000e-01,6.19318181818e-01,7.43137064006e-02,-2.29338896507e-05,1.83309622917e-03,1.00769128894e-01,3.98220184410e+00,5.28943030114e+00
6.25000000000e-01,6.30681818182e-01,7.41973852196e-02,1.22162661495e-04,1.90545039324e-03,1.00501620798e-01,4.59262566870e+00,5.49560052980e+00
6.25000000000e-01,6.42045454545e-01,7.39421772595e-02,2.72536716486e-04,1.96893144321e-03,1.00049417228e-01,5.32326645095e+00,5.62029261529e+00
6.25000000000e-01,6.53409090909e-01,7.36869692993e-02,4.22910771478e-04,2.03241249318e-03,9.95972136579e-02,6.05390723321e+00,5.74498470079e+00
6.25000000000e-01,6.64772727273e-01,7.32086564284e-02,5.62037554670e-04,2.07568877968e-03,9.88499848649e-02,6.52236174750e+00,5.53633172280e+00
6.25000000000e-01,6.76136363636e-01,7.26559752539e-02,6.97415247263e-04,2.11223014502e-03,9.80044143308e-02,6.90342083913e+00,5.21656372365e+00
6.25000000000e-01,6.87500000000e-01,7.21032940794e-02,8.32792939855e-04,2.14877151037e-03,9.71588437968e-02,7.28447993077e+00,4.89679572450e+00
6.25000000000e-01,6.98863636364e-01,7.12334424763e-02,9.57719379624e-04,2.17090501843e-03,9.58959222863e-02,7.65415849013e+00,4.91501418670e+00
6.25000000000e-01,7.10227272727e-01,7.03635908732e-02,1.08264581939e-03,2.19303852649e-03,9.46330007759e-02,8.02383704948e+00,4.93323264889e+00
6.25000000000e-01,7.21590909091e-01,6.94095232421e-02,1.20265743371e-03,2.20767428258e-03,9.32597429320e-02,8.35557320408e+00,4.84785470156e+00
6.25000000000e-01,7.32954545455e-01,6.82028075269e-02,1.30792457168e-03,2.19981678278e-03,9.15554760881e-02,8.57348214441e+00,4.45168752563e+00
6.25000000000e-01,7.44318181818e-01,6.69960918117e-02,1.41319170965e-03,2.19195928299e-03,8.98512092442e-02,8.79139108474e+00,4.05552034970e+00
