>>> A/B lean physics: seed 92 = FULL block, seed 93 = LEAN  2026-09-01 08:59:51
2026-09-01 09:00:15,892 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:15,896 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:15,900 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:15,900 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:15,903 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:15,903 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:15,908 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:15,908 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:15,912 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:15,912 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:15,919 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:15,919 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:15,919 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:15,929 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:15,992 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:15,994 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:15,995 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:15,995 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:15,998 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:16,001 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:16,001 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:16,004 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:16,004 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:16,009 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:16,009 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:16,012 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:16,012 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:16,018 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:16,018 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:16,018 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:16,026 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
