x,y,u,qn
0.625,0.26136363636363635,4.431732420453839e-06,0.010538069314948148
0.625,0.2840909090909091,1.8558786288817294e-05,0.014163640562183158
0.625,0.3068181818181818,3.4197726181577596e-05,0.018078533730844386
0.625,0.32954545454545453,5.083139164669995e-05,0.022173410089774526
0.625,0.3522727272727273,6.814503443224685e-05,0.026384236659238967
0.625,0.375,8.603934743385566e-05,0.030688322918333386
0.625,0.3977272727272727,0.0001044687415670731,0.03505080176337133
0.625,0.42045454545454547,0.00012298771093198122,0.03939298508306764
0.625,0.4431818181818182,0.0001414986376451727,0.043692149385116695
0.625,0.4659090909090909,0.0001598242009861712,0.047898788579838945
0.625,0.48863636363636365,0.00017759218527885982,0.05191793440054933
0.625,0.5113636363636364,0.00019476661353240644,0.05575769674933119
0.625,0.5340909090909091,0.00021124967279671235,0.05939534586827883
0.625,0.5568181818181818,0.0002264904623620175,0.06268639330787469
0.625,0.5795454545454546,0.00024037081287635374,0.06561217080811013
0.625,0.6022727272727273,0.00025296845900508953,0.06819947144836223
0.625,0.625,0.0002641840639639186,0.07042557173273124
0.625,0.6477272727272727,0.00027278692556074113,0.07198288238779656
0.625,0.6704545454545454,0.0002795026698451912,0.07306542799249771
0.625,0.6931818181818182,0.00028422806005418946,0.07365051150807725
0.625,0.7159090909090909,0.00028637919919910216,0.07359778584694744
0.625,0.7386363636363636,0.00028515908897084165,0.07272156344966363
