x, y, u, qn
0.625, 0.26136363636363635, 0.00041032434634499, -0.0013201315652256358
0.625, 0.2840909090909091, 0.0004411993617299, -0.0013889628067657953
0.625, 0.3068181818181818, 0.00046786712183222, -0.0014465625336268165
0.625, 0.32954545454545453, 0.00049036321513574, -0.0014939027742662814
0.625, 0.3522727272727273, 0.00049036321513574, -0.0014939027742662814
0.625, 0.375, 0.00050872059646514, -0.00153172980249296
0.625, 0.3977272727272727, 0.00052296779988959, -0.0015606091142162225
0.625, 0.42045454545454547, 0.00052296779988959, -0.0015606091142162225
0.625, 0.4431818181818182, 0.00053312786159835, -0.0015809555004449877
0.625, 0.4659090909090909, 0.00053921764696377, -0.0015930529378104033
0.625, 0.48863636363636365, 0.00054124743681247, -0.0015970671782519381
0.625, 0.5113636363636364, 0.00054124743681247, -0.0015970671782519381
0.625, 0.5340909090909091, 0.00053922070182235, -0.0015930527212233182
0.625, 0.5568181818181818, 0.00053313403210646, -0.00158095504623142
0.625, 0.5795454545454546, 0.00052297721260511, -0.0015606083779651347
0.625, 0.6022727272727273, 0.00052297721260511, -0.0015606083779651347
0.625, 0.625, 0.00050873345456616, -0.0015317287113180266
0.625, 0.6477272727272727, 0.00049037981725029, -0.0014939012180650371
0.625, 0.6704545454545454, 0.00049037981725029, -0.0014939012180650371
0.625, 0.6931818181818182, 0.00046788789289154, -0.0014465603515539834
0.625, 0.7159090909090909, 0.00044122490350021, -0.0013889597688061285
0.625, 0.7386363636363636, 0.00041035552265122, -0.0013201273564586967
