x,y,T,ux,uy,qn,tx,ty
6.25000000000e-01,1.25000000000e-01,1.86792185211e-02,-9.31049434273e-04,-9.32361699204e-04,2.53136114979e-02,-6.16183224904e+00,-5.88743626325e-01
6.25000000000e-01,2.50000000000e-01,3.86206080162e-02,-1.81334147096e-03,-1.35639326762e-03,5.42797811779e-02,-4.63493553109e+00,-2.32224369493e+00
6.25000000000e-01,3.75000000000e-01,5.67278056068e-02,-2.24155736059e-03,-1.00107046102e-03,7.90541998255e-02,-3.09304726471e+00,-1.78677141249e+00
6.25000000000e-01,5.00000000000e-01,6.95696763299e-02,-2.13075328778e-03,-8.04290183707e-05,9.58871363980e-02,-1.95639583986e+00,-5.84060479190e-01
6.25000000000e-01,6.25000000000e-01,7.37290339303e-02,-1.51734214053e-03,1.16621208182e-03,1.00564100626e-01,-1.61964789928e+00,2.64899910419e+00
6.25000000000e-01,7.50000000000e-01,6.58051412222e-02,1.46736021811e-04,2.02551013718e-03,8.86199686153e-02,3.97006959714e+00,5.26057588893e+00
6.25000000000e-01,8.75000000000e-01,4.24845279428e-02,9.18347739803e-04,1.48483762701e-03,5.38709028492e-02,2.63476998007e+00,-3.70496017133e-01
