x,y,T,ux,uy
1.43750000000e+00,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,6.25000000000e-02,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.43750000000e+00,6.25000000000e-02,9.70676581979e-04,-4.60845879182e-05,-2.31824793012e-05
1.37500000000e+00,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,1.25000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.37500000000e+00,6.25000000000e-02,1.88734642368e-03,-5.31244993467e-05,-1.82405146559e-05
1.43750000000e+00,1.25000000000e-01,2.05425930097e-03,-4.64273215363e-05,-1.69022771977e-05
1.31250000000e+00,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,1.87500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.31250000000e+00,6.25000000000e-02,2.74981648573e-03,-4.63342313610e-05,-1.56483222535e-06
1.37500000000e+00,1.25000000000e-01,3.99032305066e-03,-7.27223542131e-05,3.35673234366e-06
1.43750000000e+00,1.87500000000e-01,3.19810877359e-03,-5.53558261978e-05,4.87029947809e-06
1.25000000000e+00,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,2.50000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.25000000000e+00,6.25000000000e-02,3.55838711156e-03,-4.89524273576e-05,4.33242712825e-06
1.31250000000e+00,1.25000000000e-01,5.80896995251e-03,-8.28168653875e-05,1.66704637809e-05
1.37500000000e+00,1.87500000000e-01,6.20808008694e-03,-1.04919423113e-04,2.41005307448e-05
1.43750000000e+00,2.50000000000e-01,4.35007849418e-03,-6.46473253290e-05,6.45341245055e-06
1.18750000000e+00,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,3.12500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.18750000000e+00,6.25000000000e-02,4.31356974828e-03,-6.07159580834e-05,-4.66047934451e-06
1.25000000000e+00,1.25000000000e-01,7.51134258389e-03,-1.07387524198e-04,1.88331481227e-06
1.31250000000e+00,1.87500000000e-01,9.03197352853e-03,-1.45102074405e-04,1.25168813242e-05
1.37500000000e+00,2.50000000000e-01,8.44013161247e-03,-1.23260412999e-04,1.44251727687e-05
1.43750000000e+00,3.12500000000e-01,5.45823104021e-03,-6.03208680410e-05,2.59894512412e-06
1.12500000000e+00,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,3.75000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.12500000000e+00,6.25000000000e-02,5.01599108225e-03,-9.19475667621e-05,-6.34363484911e-06
1.18750000000e+00,1.25000000000e-01,9.09881931475e-03,-1.59578897293e-04,-1.24559339296e-05
1.25000000000e+00,1.87500000000e-01,1.16720821295e-02,-2.02193708747e-04,-1.49132332805e-05
1.31250000000e+00,2.50000000000e-01,1.22735761346e-02,-1.94390253506e-04,-1.62160190063e-05
1.37500000000e+00,3.12500000000e-01,1.05862251498e-02,-1.52033218591e-04,-2.37822213163e-05
1.43750000000e+00,3.75000000000e-01,6.47073900154e-03,-7.69324070943e-05,-3.25162334937e-05
1.06250000000e+00,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,4.37500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.06250000000e+00,6.25000000000e-02,5.66636213632e-03,-1.22257444764e-04,-1.24963579939e-05
1.12500000000e+00,1.25000000000e-01,1.05729440319e-02,-2.25594323729e-04,-3.17910800951e-05
1.18750000000e+00,1.87500000000e-01,1.41309015968e-02,-2.97916805967e-04,-5.61200255336e-05
1.25000000000e+00,2.50000000000e-01,1.58539869778e-02,-3.05499380950e-04,-8.24666909972e-05
1.31250000000e+00,3.12500000000e-01,1.53887293673e-02,-2.63533708170e-04,-9.45016948472e-05
1.37500000000e+00,3.75000000000e-01,1.25462663591e-02,-1.83723751825e-04,-9.84045323537e-05
1.43750000000e+00,4.37500000000e-01,7.33584779670e-03,-8.90950646795e-05,-7.11026734618e-05
1.00000000000e+00,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,5.00000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.00000000000e+00,6.25000000000e-02,6.26547843044e-03,-1.70517357174e-04,-4.48310964566e-05
1.06250000000e+00,1.25000000000e-01,1.19353982318e-02,-3.18666115993e-04,-7.78943665067e-05
1.12500000000e+00,1.87500000000e-01,1.64111010635e-02,-4.14639156884e-04,-1.13435527765e-04
1.18750000000e+00,2.50000000000e-01,1.91851071016e-02,-4.41319276545e-04,-1.52439109104e-04
1.25000000000e+00,3.12500000000e-01,1.98706117841e-02,-4.02894160724e-04,-1.82983329431e-04
1.31250000000e+00,3.75000000000e-01,1.82325528656e-02,-3.25563584521e-04,-2.02096815766e-04
1.37500000000e+00,4.37500000000e-01,1.42202819536e-02,-2.28463707817e-04,-1.99450749448e-04
1.43750000000e+00,5.00000000000e-01,8.00186309360e-03,-1.23733386568e-04,-1.31441411100e-04
9.37500000000e-01,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,5.62500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
9.37500000000e-01,6.25000000000e-02,6.81424856155e-03,-2.23298531742e-04,-7.84205878252e-05
1.00000000000e+00,1.25000000000e-01,1.31880039859e-02,-4.22727093815e-04,-1.33229695646e-04
1.06250000000e+00,1.87500000000e-01,1.85155096729e-02,-5.54947277195e-04,-1.83542610079e-04
1.12500000000e+00,2.50000000000e-01,2.22708449666e-02,-6.12270155280e-04,-2.37971832097e-04
1.18750000000e+00,3.12500000000e-01,2.40368863463e-02,-5.86055747514e-04,-2.91438998496e-04
1.25000000000e+00,3.75000000000e-01,2.35356767049e-02,-5.10513200761e-04,-3.26237083792e-04
1.31250000000e+00,4.37500000000e-01,2.06603121230e-02,-4.10636547464e-04,-3.51188581090e-04
1.37500000000e+00,5.00000000000e-01,1.55084060373e-02,-2.94592175592e-04,-3.26002438921e-04
1.43750000000e+00,5.62500000000e-01,8.41715133790e-03,-1.57425968745e-04,-1.95566906895e-04
8.75000000000e-01,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,6.25000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
8.75000000000e-01,6.25000000000e-02,7.31377381364e-03,-2.68380200481e-04,-1.21721030145e-04
9.37500000000e-01,1.25000000000e-01,1.43327584891e-02,-5.43800899959e-04,-2.02915501633e-04
1.00000000000e+00,1.87500000000e-01,2.04471216372e-02,-7.29179465178e-04,-2.80613152611e-04
1.06250000000e+00,2.50000000000e-01,2.51152729695e-02,-8.19091428086e-04,-3.38776920136e-04
1.12500000000e+00,3.12500000000e-01,2.78927235998e-02,-8.00745909983e-04,-3.92529520920e-04
1.18750000000e+00,3.75000000000e-01,2.84618537844e-02,-7.23703756699e-04,-4.47117041180e-04
1.25000000000e+00,4.37500000000e-01,2.66630584962e-02,-6.19261622706e-04,-4.95888992833e-04
1.31250000000e+00,5.00000000000e-01,2.25274103568e-02,-5.00602899884e-04,-5.22366184806e-04
1.37500000000e+00,5.62500000000e-01,1.63108832533e-02,-3.64145612033e-04,-4.67328440391e-04
1.43750000000e+00,6.25000000000e-01,8.53015129831e-03,-1.90183487040e-04,-2.56040154194e-04
8.12500000000e-01,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,6.87500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
8.12500000000e-01,6.25000000000e-02,7.76555700380e-03,-2.88718481701e-04,-1.47438209833e-04
8.75000000000e-01,1.25000000000e-01,1.53719150749e-02,-6.23945068313e-04,-2.59417888753e-04
9.37500000000e-01,1.87500000000e-01,2.22091218741e-02,-9.01579669308e-04,-3.63274054126e-04
1.00000000000e+00,2.50000000000e-01,2.77226324937e-02,-1.05774060854e-03,-4.63940822143e-04
1.06250000000e+00,3.12500000000e-01,3.14434553369e-02,-1.05193554999e-03,-5.15917800191e-04
1.12500000000e+00,3.75000000000e-01,3.30174538086e-02,-9.73046494998e-04,-5.73969042830e-04
1.18750000000e+00,4.37500000000e-01,3.22357851156e-02,-8.61096742736e-04,-6.37028543001e-04
1.25000000000e+00,5.00000000000e-01,2.90667877112e-02,-7.28254678962e-04,-6.92795654588e-04
1.31250000000e+00,5.62500000000e-01,2.36893946353e-02,-5.70530515614e-04,-6.88102435917e-04
1.37500000000e+00,6.25000000000e-01,1.65280883781e-02,-3.92820449660e-04,-5.61816650483e-04
1.43750000000e+00,6.87500000000e-01,8.28940012410e-03,-2.19729896507e-04,-2.93544075478e-04
7.50000000000e-01,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,7.50000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
7.50000000000e-01,6.25000000000e-02,8.17209782578e-03,-3.01590630127e-04,-2.04432481621e-04
8.12500000000e-01,1.25000000000e-01,1.63081436453e-02,-6.94169607424e-04,-3.13764094684e-04
8.75000000000e-01,1.87500000000e-01,2.38049354738e-02,-1.04476676795e-03,-4.30823609244e-04
9.37500000000e-01,2.50000000000e-01,3.00973473763e-02,-1.27826215373e-03,-5.35015180419e-04
1.00000000000e+00,3.12500000000e-01,3.46945778373e-02,-1.31780009558e-03,-6.31922600858e-04
1.06250000000e+00,3.75000000000e-01,3.72090064439e-02,-1.24461201072e-03,-7.05760449100e-04
1.12500000000e+00,4.37500000000e-01,3.73859169259e-02,-1.13031897478e-03,-7.77881586858e-04
1.18750000000e+00,5.00000000000e-01,3.51346160017e-02,-9.95154832708e-04,-8.55597889698e-04
1.25000000000e+00,5.62500000000e-01,3.05610558052e-02,-8.20339145331e-04,-9.08030890782e-04
1.31250000000e+00,6.25000000000e-01,2.40019782689e-02,-5.97095181657e-04,-8.35103155258e-04
1.37500000000e+00,6.87500000000e-01,1.60605676204e-02,-4.08448440636e-04,-6.24964216436e-04
1.43750000000e+00,7.50000000000e-01,7.64358473171e-03,-2.28742132222e-04,-3.12145134505e-04
6.87500000000e-01,-1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,8.12500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.87500000000e-01,6.25000000000e-02,8.53878488753e-03,-3.06037350527e-04,-3.19704166725e-04
7.50000000000e-01,1.25000000000e-01,1.71448111614e-02,-7.58003612065e-04,-4.10550038573e-04
8.12500000000e-01,1.87500000000e-01,2.52382990713e-02,-1.17237979938e-03,-4.93667864105e-04
8.75000000000e-01,2.50000000000e-01,3.22440437591e-02,-1.46637998869e-03,-6.01769952459e-04
9.37500000000e-01,3.12500000000e-01,3.76517552005e-02,-1.58758887051e-03,-7.13999482609e-04
1.00000000000e+00,3.75000000000e-01,4.10432012548e-02,-1.53690959524e-03,-8.29311629534e-04
1.06250000000e+00,4.37500000000e-01,4.21210437788e-02,-1.41687820066e-03,-9.20141361315e-04
1.12500000000e+00,5.00000000000e-01,4.07391541829e-02,-1.27191032805e-03,-9.92077594069e-04
1.18750000000e+00,5.62500000000e-01,3.69344470114e-02,-1.08998720561e-03,-1.07224427496e-03
1.25000000000e+00,6.25000000000e-01,3.09602352871e-02,-8.33466374698e-04,-1.09890607897e-03
1.31250000000e+00,6.87500000000e-01,2.33210844950e-02,-6.09234102454e-04,-9.68767578256e-04
1.37500000000e+00,7.50000000000e-01,1.48091144757e-02,-4.49860558215e-04,-6.86689471139e-04
1.43750000000e+00,8.12500000000e-01,6.54164543892e-03,-2.73431541466e-04,-3.22223369418e-04
6.25000000000e-01,1.34639254474e-18,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
1.50000000000e+00,8.75000000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-01,6.25000000000e-02,8.88056249408e-03,-3.13025247122e-04,-5.44462156128e-04
6.87500000000e-01,1.25000000000e-01,1.78862876677e-02,-8.16120078902e-04,-6.10317725276e-04
7.50000000000e-01,1.87500000000e-01,2.65133210100e-02,-1.30843825917e-03,-6.13985861257e-04
8.12500000000e-01,2.50000000000e-01,3.41675655120e-02,-1.65759407934e-03,-6.81603387769e-04
8.75000000000e-01,3.12500000000e-01,4.03208203882e-02,-1.83826496653e-03,-7.80924458563e-04
9.37500000000e-01,3.75000000000e-01,4.45268832794e-02,-1.84585162433e-03,-9.23594009357e-04
1.00000000000e+00,4.37500000000e-01,4.64489151951e-02,-1.72862916484e-03,-1.05943074842e-03
1.06250000000e+00,5.00000000000e-01,4.58888403038e-02,-1.55749488294e-03,-1.13746224462e-03
1.12500000000e+00,5.62500000000e-01,4.28183664799e-02,-1.35911080266e-03,-1.17951761969e-03
1.18750000000e+00,6.25000000000e-01,3.74115578075e-02,-1.08950092440e-03,-1.28409901371e-03
1.25000000000e+00,6.87500000000e-01,3.00789166433e-02,-8.18880779309e-04,-1.28743298385e-03
1.31250000000e+00,7.50000000000e-01,2.15029206099e-02,-6.58554481986e-04,-1.08092364778e-03
1.37500000000e+00,8.12500000000e-01,1.26749063287e-02,-5.26385295445e-04,-7.05296644351e-04
1.43750000000e+00,8.75000000000e-01,4.93300251270e-03,-3.21509412838e-04,-3.01943447985e-04
1.50000000000e+00,9.37500000000e-01,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-01,1.25000000000e-01,1.85370891147e-02,-8.55759533717e-04,-9.62524612727e-04
6.87500000000e-01,1.87500000000e-01,2.76343900859e-02,-1.42308714140e-03,-8.45077375741e-04
7.50000000000e-01,2.50000000000e-01,3.58729542810e-02,-1.84253588152e-03,-7.98312889725e-04
8.12500000000e-01,3.12500000000e-01,4.27077656503e-02,-2.06854768700e-03,-8.62736901248e-04
8.75000000000e-01,3.75000000000e-01,4.76670435942e-02,-2.14469532866e-03,-9.59477812126e-04
9.37500000000e-01,4.37500000000e-01,5.03774288340e-02,-2.07240451825e-03,-1.15550762204e-03
1.00000000000e+00,5.00000000000e-01,5.05922781457e-02,-1.86046708008e-03,-1.27615607437e-03
1.06250000000e+00,5.62500000000e-01,4.82218171193e-02,-1.62057452556e-03,-1.28814069998e-03
1.12500000000e+00,6.25000000000e-01,4.33649204497e-02,-1.30661691046e-03,-1.30996711283e-03
1.18750000000e+00,6.87500000000e-01,3.63424327357e-02,-1.00341068542e-03,-1.44049041760e-03
1.25000000000e+00,7.50000000000e-01,2.77319666047e-02,-8.05885325992e-04,-1.39365186828e-03
1.31250000000e+00,8.12500000000e-01,1.84040966847e-02,-7.22668023661e-04,-1.07381011514e-03
1.37500000000e+00,8.75000000000e-01,9.55975265656e-03,-5.62938211684e-04,-6.13162380652e-04
1.43750000000e+00,9.37500000000e-01,2.76811052247e-03,-2.64949287396e-04,-2.11692710878e-04
1.50000000000e+00,1.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-01,1.87500000000e-01,2.86055630737e-02,-1.44519949458e-03,-1.16933232735e-03
6.87500000000e-01,2.50000000000e-01,3.73653307543e-02,-1.90965519989e-03,-9.57963414706e-04
7.50000000000e-01,3.12500000000e-01,4.48187058624e-02,-2.16937109327e-03,-8.89510607628e-04
8.12500000000e-01,3.75000000000e-01,5.04708012114e-02,-2.31436412863e-03,-9.33123196709e-04
8.75000000000e-01,4.37500000000e-01,5.39146142360e-02,-2.35059391035e-03,-1.07101114561e-03
9.37500000000e-01,5.00000000000e-01,5.48582170213e-02,-2.12546388115e-03,-1.26713262142e-03
1.00000000000e+00,5.62500000000e-01,5.31539804747e-02,-1.78897934657e-03,-1.30726217140e-03
1.06250000000e+00,6.25000000000e-01,4.88295408574e-02,-1.41652282889e-03,-1.27257977528e-03
1.12500000000e+00,6.87500000000e-01,4.21203613616e-02,-1.09743712755e-03,-1.30808846196e-03
1.18750000000e+00,7.50000000000e-01,3.35037991657e-02,-8.89406788501e-04,-1.44967697150e-03
1.25000000000e+00,8.12500000000e-01,2.37346118209e-02,-7.71348164168e-04,-1.31766535444e-03
1.31250000000e+00,8.75000000000e-01,1.38818060260e-02,-6.87867814418e-04,-8.91246308383e-04
1.37500000000e+00,9.37500000000e-01,5.36654423513e-03,-4.15867877513e-04,-3.87041315269e-04
1.43750000000e+00,1.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-01,2.50000000000e-01,3.86496152639e-02,-1.83652113364e-03,-1.10932271332e-03
6.87500000000e-01,3.12500000000e-01,4.66597941955e-02,-2.14629872541e-03,-8.94452483434e-04
7.50000000000e-01,3.75000000000e-01,5.29453702860e-02,-2.36045535143e-03,-8.41173007365e-04
8.12500000000e-01,4.37500000000e-01,5.70686122161e-02,-2.46707116995e-03,-9.29534481528e-04
8.75000000000e-01,5.00000000000e-01,5.86955283147e-02,-2.24761364223e-03,-1.06781493524e-03
9.37500000000e-01,5.62500000000e-01,5.76241842731e-02,-1.84393717951e-03,-1.15892450211e-03
1.00000000000e+00,6.25000000000e-01,5.38148346217e-02,-1.40900603185e-03,-1.15356238686e-03
1.06250000000e+00,6.87500000000e-01,4.74217243318e-02,-1.05799366604e-03,-1.13216940407e-03
1.12500000000e+00,7.50000000000e-01,3.88264324325e-02,-8.78154148451e-04,-1.19084315854e-03
1.18750000000e+00,8.12500000000e-01,2.86726776888e-02,-7.28707016099e-04,-1.28168048976e-03
1.25000000000e+00,8.75000000000e-01,1.79025463755e-02,-6.24566802074e-04,-1.02814076908e-03
1.31250000000e+00,9.37500000000e-01,7.79407257802e-03,-4.34470757606e-04,-5.12331689391e-04
1.37500000000e+00,1.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-01,3.12500000000e-01,4.82370918312e-02,-2.04437177668e-03,-8.85121539438e-04
6.87500000000e-01,3.75000000000e-01,5.50980084765e-02,-2.28621394992e-03,-6.26237059469e-04
7.50000000000e-01,4.37500000000e-01,5.98476500944e-02,-2.41273994748e-03,-6.08692499170e-04
8.12500000000e-01,5.00000000000e-01,6.21131821888e-02,-2.21937679528e-03,-7.56171207870e-04
8.75000000000e-01,5.62500000000e-01,6.16418683363e-02,-1.80388650922e-03,-8.66513648283e-04
9.37500000000e-01,6.25000000000e-01,5.83303658003e-02,-1.33671661649e-03,-9.28610445276e-04
1.00000000000e+00,6.87500000000e-01,5.22557651210e-02,-9.48095463872e-04,-9.52632493765e-04
1.06250000000e+00,7.50000000000e-01,4.37082288225e-02,-7.08578223083e-04,-9.39294261954e-04
1.12500000000e+00,8.12500000000e-01,3.32250985435e-02,-5.30011105237e-04,-9.46942313089e-04
1.18750000000e+00,8.75000000000e-01,2.16264371743e-02,-4.13112604071e-04,-9.19113107199e-04
1.25000000000e+00,9.37500000000e-01,1.00520426552e-02,-3.05377813905e-04,-5.54368662230e-04
1.31250000000e+00,1.00000000000e+00,0.00000000000e+00,0.00000000000e+00,0.00000000000e+00
6.25000000000e-01,3.75000000000e-01,5.69359545779e-02,-2.19380860445e-03,-5.18063097903e-04
6.87500000000e-01,4.37500000000e-01,6.22600146315e-02,-2.24841992806e-03,-2.45702944565e-04
7.50000000000e-01,5.00000000000e-01,6.51202289664e-02,-2.02914401485e-03,-2.65871216498e-04
8.12500000000e-01,5.62500000000e-01,6.52165540950e-02,-1.60904237098e-03,-3.98880084079e-04
8.75000000000e-01,6.25000000000e-01,6.23857969666e-02,-1.13656874946e-03,-5.09514796783e-04
9.37500000000e-01,6.87500000000e-01,5.66318784225e-02,-7.31199820405e-04,-6.20945310208e-04
1.00000000000e+00,7.50000000000e-01,4.81577950229e-02,-4.97551523079e-04,-7.14654212584e-04
1.06250000000e+00,8.12500000000e-01,3.73990668278e-02,-3.08677702562e-04,-6.92803051546e-04
1.12500000000e+00,8.75000000000e-01,2.50585688453e-02,-1.80211692708e-04,-6.21182469711e-04
