iteration,interface_residual
1,2.393151603166540e+11
2,9.633422645308559e-01
3,3.132670770500270e-01
4,1.305101274493065e-01
5,5.904487392841026e-02
6,2.764419193043672e-02
7,1.314513747680170e-02
8,6.296627775931603e-03
9,3.026881010644609e-03
10,1.457655916644135e-03
11,7.026167511618584e-04
12,3.388509619715567e-04
13,1.634708095104252e-04
14,7.888083139030068e-05
15,3.806993991690535e-05
16,1.837647494778309e-05
17,8.881941569159927e-06
18,4.294992859486120e-06
19,2.077206939509053e-06
20,1.004751409307247e-06
21,4.860691211842315e-07
