iteration,interface_residual
1,2.253812259415543e+11
2,9.912396854299770e-01
3,3.284808603948651e-01
4,1.398375849091565e-01
5,6.477889421613266e-02
6,3.109956452657489e-02
7,1.517823670535384e-02
8,7.466378017187281e-03
9,3.686953794509448e-03
10,1.824096051218565e-03
11,9.033073423077903e-04
12,4.475350482378655e-04
13,2.217794786825257e-04
14,1.099179269940503e-04
15,5.448084470890416e-05
16,2.700442973972813e-05
17,1.338554273934418e-05
18,6.635042971641476e-06
19,3.288946253096798e-06
20,1.630325600954649e-06
21,8.081576375466416e-07
