iteration,interface_residual
1,5.282970898058e-01
2,2.508596089344e-01
3,1.308165147533e-01
4,6.575687384860e-02
5,3.128836677131e-02
6,1.570323718855e-02
7,7.959561386371e-03
8,4.237228912817e-03
9,2.058571526194e-03
10,1.029558022892e-03
11,5.020594741910e-04
12,2.466334913781e-04
