x,y,T,ux,uy
8.139204545455e-01,3.409090909091e-02,4.268038118971e-04,4.268038118971e-06,4.268038118971e-06
8.338068181818e-01,3.409090909091e-02,4.580571802740e-04,4.580571802740e-06,4.580571802740e-06
8.536931818182e-01,3.409090909091e-02,4.867061012862e-04,4.867061012862e-06,4.867061012862e-06
8.735795454545e-01,3.409090909091e-02,5.127505749336e-04,5.127505749336e-06,5.127505749336e-06
8.934659090909e-01,3.409090909091e-02,5.361906012163e-04,5.361906012163e-06,5.361906012163e-06
9.133522727273e-01,3.409090909091e-02,5.570261801342e-04,5.570261801342e-06,5.570261801342e-06
9.332386363636e-01,3.409090909091e-02,5.752573116874e-04,5.752573116874e-06,5.752573116874e-06
9.531250000000e-01,3.409090909091e-02,5.908839958758e-04,5.908839958758e-06,5.908839958758e-06
9.730113636364e-01,3.409090909091e-02,6.039062326995e-04,6.039062326995e-06,6.039062326995e-06
9.928977272727e-01,3.409090909091e-02,6.143240221585e-04,6.143240221585e-06,6.143240221585e-06
1.012784090909e+00,3.409090909091e-02,6.221373642527e-04,6.221373642527e-06,6.221373642527e-06
1.032670454545e+00,3.409090909091e-02,6.273462589822e-04,6.273462589822e-06,6.273462589822e-06
1.052556818182e+00,3.409090909091e-02,6.299507063470e-04,6.299507063470e-06,6.299507063470e-06
1.072443181818e+00,3.409090909091e-02,6.299507063470e-04,6.299507063470e-06,6.299507063470e-06
1.092329545455e+00,3.409090909091e-02,6.273462589822e-04,6.273462589822e-06,6.273462589822e-06
1.112215909091e+00,3.409090909091e-02,6.221373642527e-04,6.221373642527e-06,6.221373642527e-06
1.132102272727e+00,3.409090909091e-02,6.143240221585e-04,6.143240221585e-06,6.143240221585e-06
1.151988636364e+00,3.409090909091e-02,6.039062326995e-04,6.039062326995e-06,6.039062326995e-06
1.171875000000e+00,3.409090909091e-02,5.908839958758e-04,5.908839958758e-06,5.908839958758e-06
1.191761363636e+00,3.409090909091e-02,5.752573116874e-04,5.752573116874e-06,5.752573116874e-06
1.211647727273e+00,3.409090909091e-02,5.570261801342e-04,5.570261801342e-06,5.570261801342e-06
1.231534090909e+00,3.409090909091e-02,5.361906012163e-04,5.361906012163e-06,5.361906012163e-06
1.251420454545e+00,3.409090909091e-02,5.127505749336e-04,5.127505749336e-06,5.127505749336e-06
1.271306818182e+00,3.409090909091e-02,4.867061012862e-04,4.867061012862e-06,4.867061012862e-06
1.291193181818e+00,3.409090909091e-02,4.580571802740e-04,4.580571802740e-06,4.580571802740e-06
1.311079545455e+00,3.409090909091e-02,4.268038118971e-04,4.268038118971e-06,4.268038118971e-06
1.330965909091e+00,3.409090909091e-02,3.929459961554e-04,3.929459961554e-06,3.929459961554e-06
1.350852272727e+00,3.409090909091e-02,3.564837330491e-04,3.564837330491e-06,3.564837330491e-06
1.370738636364e+00,3.409090909091e-02,3.174170225779e-04,3.174170225779e-06,3.174170225779e-06
1.390625000000e+00,3.409090909091e-02,2.757458647421e-04,2.757458647421e-06,2.757458647421e-06
1.410511363636e+00,3.409090909091e-02,2.314702595414e-04,2.314702595414e-06,2.314702595414e-06
1.430397727273e+00,3.409090909091e-02,1.845902069761e-04,1.845902069761e-06,1.845902069761e-06
1.450284090909e+00,3.409090909091e-02,1.351057070460e-04,1.351057070460e-06,1.351057070460e-06
