x,y,T,ux,uy,qn,tx,ty
6.250000000000e-01,2.556818181818e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.189428912707e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,2.670454545455e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.223326123450e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,2.784090909091e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.255609181302e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,2.897727272727e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.286278086260e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,3.011363636364e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.315332838326e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,3.125000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.342773437500e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,3.238636363636e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.368599883781e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,3.352272727273e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.392812177169e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,3.465909090909e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.415410317665e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,3.579545454545e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.436394305269e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,3.693181818182e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.455764139979e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,3.806818181818e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.473519821798e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,3.920454545455e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.489661350723e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,4.034090909091e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.504188726756e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,4.147727272727e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.517101949897e-02,0.000000000000e+00,0.000000000000e+00
6.250000000000e-01,4.261363636364e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.528401020145e-02,0.000000000000e+00,0.000000000000e+00
